created_at,full_text
Thu May 25 07:35:36 +0000 2023,@PutraWTF @noire172 Presiden pertama juga gitu. Jadinya kualat deh
Thu May 25 02:40:41 +0000 2023,https://t.co/MT1r5PeA6e
Thu May 25 07:35:38 +0000 2023,SEBAGAI pendukung Pak @jokowi
Thu May 25 07:36:01 +0000 2023,Salam sehat untuk semua\n\nBBPK Jakarta  melaksanakan sosialiasai Germas bekerjasama dengan anggota DPR RI Komisi IX
Thu May 25 07:35:50 +0000 2023,@saviera_gayatri @tanyarlfes @smartfrenworld Da akumah nggaktau aku pake wifi ibu kos namanya Ibu Yuli. Coba tanya babang cs Smartfren ya mmf aku tidak informatif https://t.co/dXb7e50Rdd
Thu May 25 07:37:18 +0000 2023,@_Rizmaya__ di mana-mana diseluruh dunia\nseseorang yg berpendidikan S3 Doktor\nselalu menggunakan Data Sekunder yang valid\nspt Data Bank Dunia atau IMF\natau data instansi kredibel seperti BPS atau Kementrian. \nDoktor kok menggunakan data dari media on
Thu May 25 07:34:11 +0000 2023,@aniesbaswedan emang blo on..\n@NasDem aja yg kegedean harapan..\nHarapannya klu Anies begok ini jadi presiden semua kebejatan kader2 Nasdem bisa di lindungi..termasuk kasus BTS
Thu May 25 07:35:12 +0000 2023,Prabowo Subianto Penuhi Undangan Presiden MBZ di UAE
Thu May 25 07:34:42 +0000 2023,@remiyvesselsoft yoi 😎✨ kalo gaada presiden negaranya dipimpin syp??? 🐮
Thu May 25 07:34:51 +0000 2023,Kalo presiden/wakil presiden gak ada dari Sumatera ya aku gak akan pilih....mereka aja gak mau memilih diluar golongannya.... ngapain kita susah2
Thu May 25 07:33:00 +0000 2023,Adapun infrastruktur yang dibangun di Citarum Hulu antara lain Kolam Retensi Andir
Thu May 25 07:31:37 +0000 2023,@Bharata_ja @jokowi @ch_chotimah2 @Dennysiregar7 Presiden Vietnam 👍👍\nPresiden Indonesia 👎👎
Thu May 25 07:33:00 +0000 2023,Kandidat presiden dari Partai Republik
Thu May 25 07:32:13 +0000 2023,Gubernur Jawa Barat Ridwan Kamil menempati posisi keempat pada hasil survei terbaru Lembaga Survei Jakarta (LSJ) bakal calon presiden 2024.\n\nHasil survei dari LSJ yang dilakukan 9 hingga 17 Mei 2023 di 34 provinsi di seluruh Indonesia
Thu May 25 07:34:24 +0000 2023,@liechaikha_yoza @azissubekti @Alie_Fahnoor @bengkeldodo @cocolatetwo @are_inismyname @florieliciouss @Kimberley_2024 @NgkongRoses @meycanaja @Ndons_Back Gagal sebelumnya hanya soal takdir namun terbaik dan berkualitas itu realita 🙂\n\nTakdir menang ak
Thu May 25 07:35:07 +0000 2023,@geloraco 🇮🇩👫Belum Pernah Trjdi Didunia ini: Se-org Presiden Yg Masa Jbat-nya/ Trsisa + - 1TH masih saja Menuver Politiek: Apa Tidak Cukup Selama 9 THN OBBIUS Of POWER !! Sosial
Thu May 25 07:33:09 +0000 2023,Semuga capres yang gemar nonton bokep bisa tercerahkan. Selama ini kan dia nanya pa salahnya nonton bokep.\nNih maseh yg perlu digarisbawahi MERUSAK OTAK!\nMosok Indonesia mau dipimpin ama presiden yang otaknya rusak?!
Thu May 25 02:46:42 +0000 2023,Dampak Buruk Kecanduan Nonton Film Porno
Thu May 25 07:31:46 +0000 2023,Kini saya akui
Thu May 25 07:32:56 +0000 2023,@PartaiSocmed Harusnya ada banner tandingan. \nYaitu \nKami butuh presiden yg getol dengan harga kebutuhan pokok rakyat. \nDengan foto pedangang sembako 🤣🤣🤣
Thu May 25 07:32:27 +0000 2023,@Merimerssssssss @MazayaRahmalia @Sudarma55545214 @albert_morafia @an_ti_ka_drun @Bunga___Namaku @Candra4smara @DE__JAVU_ @newIding30 @sami86pilang @Jkt_Networks3 @Maria_Dzadina @OmpungGuru Ngimpii aja org yaman jdi presiden\n\nOrg pribumi tetep yg terbai
Thu May 25 07:32:40 +0000 2023,@Candra4smara jangankan duduk dimeja
Thu May 25 06:44:30 +0000 2023,Direktur Jenderal Bina Marga Kementerian PUPR
Thu May 25 07:35:14 +0000 2023,Nampak Presiden MBZ didampingi Perdana Menteri dan Putra Mahkota Bahrain HRH Salman bin Hamad Al Khalifa. #MengharumkanBangsa #IkutPakde Prabowo Subianto
Thu May 25 07:29:58 +0000 2023,@thvbearecaa bff
